abolish, отменить  
caution, осторожность  
cautious, осторожный  
cave, пещера  
cease, прекращать  
cemetery, кладбище  
certainty, уверенность  
certificate, сертификат  
challenging, сложный / вызывающий  
chamber, палата / зал  
championship, чемпионат  
chaos, хаос  
characterize, характеризовать  
charm, очарование / обаяние  
charming, очаровательный  
charter, устав  
chase, преследовать  
cheek, щека  
cheer, радость / оживление  
choir, хор  
chop, рубить / нарезать  
chronic, хронический  
chunk, кусок  
circuit, цепь / контур  
circulate, циркулировать  
circulation, циркуляция  
citizenship, гражданство  
civic, гражданский  
civilian, гражданский  
civilization, цивилизация  
clarify, прояснять  
clarity, ясность  
clash, столкновение  
classification, классификация  
classify, классифицировать  
clerk, клерк  
cliff, утес  
cling, цепляться  
clinic, клиника  
clinical, клинический  
clip, зажим / клипса  
closure, закрытие  
cluster, группировка  
coalition, коалиция  
coastal, прибрежный  
cocktail, коктейль  
cognitive, когнитивный  
coincide, совпадать  
coincidence, совпадение  
collaborate, сотрудничать  
collaboration, сотрудничество  
collective, коллективный  
collector, коллекционер  
collision, столкновение  
colonial, колониальный  
colony, колония  
colourful, красочный  
columnist, колумнист  
combat, бой / борьба  
comic, комический  
commander, командир  
commence, начинать  
commentary, комментарий  
commentator, комментатор  
commerce, коммерция  
commissioner, комиссар  
commodity, товар  
communist, коммунистический  
companion, спутник  
comparable, сравнимый  
comparative, сравнительный  
compassion, сострадание  
compel, заставлять  
compelling, убедительный  
compensate, компенсировать  
compensation, компенсация  
competence, компетенция  
competent, компетентный  
compile, собирать / компилировать  
complement, дополнять  
completion, завершение  
complexity, сложность  
compliance, соответствие / согласие  
complication, осложнение  
comply, соблюдать / подчиняться  
compose, сочинять  
composer, композитор  
composition, сочинение  
compound, соединение / компонент  
comprehensive, комплексный  
comprise, включать в себя  
compromise, компромисс  
compulsory, обязательный  
compute, вычислять  
conceal, скрывать  
concede, признавать / уступать  
conceive, задумывать / представлять  
conception, представление / концепция  
concession, уступка  
concrete, бетон  
condemn, осуждать  
confer, присваивать / обсуждать  
confess, признавать  
confession, признание  
configuration, конфигурация  
confine, ограничить  
confirmation, подтверждение  
confront, столкнуться  
confrontation, столкновение  
confusion, путаница  
congratulate, поздравлять  
congregation, община  
congressional, конгрессионный  
conquer, завоевать  
conscience, совесть  
consciousness, сознание  
consecutive, последовательный  
consensus, консенсус  
consent, согласие  
consequently, следовательно  
conservation, сохранение  
conserve, сохранять  
considerable, значительный  
considerably, значительно  
consistency, последовательность  
consistently, последовательно  
deteriorate, ухудшаться
determination, решимость
devastate, опустошать
devil, дьявол
devise, придумать
devote, посвятить
diagnose, диагностировать
diagnosis, диагноз
dictate, диктовать
dictator, диктатор
differ, отличаться
differentiate, различать
dignity, достоинство
dilemma, дилемма
dimension, измерение
diminish, уменьшаться
dip, погружаться
diplomat, дипломат
diplomatic, дипломатический
directory, каталог
disability, инвалидность
disabled, инвалидный
disagreement, несогласие
disappoint, разочаровывать
disappointment, разочарование
disastrous, катастрофический
discard, избавиться от
discharge, выписывать из больницы
disclose, раскрывать
disclosure, раскрытие
discourage, отговаривать
discourse, дискурс
discretion, усмотрение
discrimination, дискриминация
dismissal, увольнение
disorder, беспорядок
displace, перемещать
disposal, утилизация
dispose, располагаться
dispute, спор
disrupt, нарушать
disruption, нарушение
dissolve, растворяться
distant, далекий
distinct, различный
distinction, различие
distinctive, отличительный
distinguish, отличать
distort, искажать
distract, отвлекать
distress, бедствие
disturb, беспокоить
disturbing, беспокоящий
dive, нырять
diverse, разнообразный
diversity, разнообразие
divert, перенаправлять
divine, божественный
divorce, развод
doctrine, доктрина
documentation, документация
domain, область
dominance, доминирование
dominant, доминирующий
donation, пожертвование
donor, донор
dose, доза
dot, точка
downtown, центр города
drain, сливать
dramatically, драматически
drift, дрейфовать
driving, вождение
drought, засуха
drown, тонуть
dual, двойной
dub, дублировать голоса
dull, скучный
dumb, немой
dump, сбросить
duo, дуэт
duration, продолжительность
dynamic, динамичный
eager, жаждущий
earnings, доход
ease, легкость
echo, эхо
ecological, экологический
economics, экономика
economist, экономист
editorial, редакционный
educator, педагог
effectiveness, эффективность
efficiency, эффективность
efficiently, эффективно
ego, эго
elaborate, проработанный
elbow, локоть
electoral, избирательный
electronics, электроника
elegant, элегантный
elementary, элементарный
elevate, поднимать
eligible, подходящий
eliminate, устранять
elite, элита
embark, садиться на корабль
embarrassment, смущение
embassy, посольство
embed, встроить
embody, воплощать
embrace, обнимать
emergence, возникновение
emission, выброс
emotionally, эмоционально
empire, империя
empirical, эмпирический
empower, давать возможность
enact, принимать закон
encompass, охватывать
encouragement, поощрение
encouraging, ободряющий
endeavour, стараться
endless, бесконечный
endorse, одобрять
endorsement, поддержка
endure, выдерживать
enforce, осуществлять
enforcement, принудительное выполнение
engagement, обязательство
engaging, привлекательный
enjoyable, приятный
enquire, расспрашивать
enrich, обогащать
enrol, записываться
ensue, следовать
enterprise, предприятие
reside, проживать/находиться
residence, местожительство/резиденция
residential, жилой
residue, остаток
resign, уходить в отставку
resignation, отставка
resistance, сопротивление
resolution, решение
respective, соответствующий
respectively, соответственно
restoration, восстановление
restore, восстанавливать 
restraint, сдержанность
restrict, ограничивать
restriction, ограничение
resume, возобновлять/резюме
retail, розничная торговля
retirement, выход на пенсию
retreat, отступать
retrieve, извлекать
revelation, откровение
revenge, месть
revenue, доход
reverse, обратный
revision, пересмотр
revival, возрождение
revive, оживлять
revolutionary, революционный
rhetoric, риторика
ridiculous, смешной
rifle, винтовка
riot, беспорядки
rip, разрывать 
risky, рискованный
ritual, обряд
rival, соперник
robbery, ограбление
robust, крепкий/устойчивый
rock, камень/скала
rocket, ракета
rod, стержень
romance, романтика
rose, роза
rotate, вращаться
rotation, вращение
roughly, грубо
ruin, разрушать/гибель
ruling, решающий
rumour, слух
sack, мешок
sacred, священный
sacrifice, жертва
saint, святой
sake, ради
sanction, санкция
satisfaction, удовлетворение
say, сказать
scandal, скандал
scare, пугать/испуг
scattered, разбросанный
scenario, сценарий
sceptical, скептический
scholar, ученый
scholarship, стипендия 
scope, сфера
scratch, скрести
screening, экранирование
screw, винт
scrutiny, тщательный анализ
seal, печать
secular, светский
seeker, искатель
seemingly, кажущийся
segment, сегмент
seize, захватывать
seldom, редко
selective, избирательный
seminar, семинар
senator, сенатор
sensation, ощущение
sensitivity, чувствительность
sentiment, настроение
separation, разделение
serial, серийный
settlement, поселение
settler, поселенец
set-up, настройка
severely, строго
sexuality, сексуальность
sexy, сексуальный
shaped, форма 
shareholder, акционер
shatter, разрушать/раскалывать
shed, сарай
sheer, чистый/явный
shipping, доставка
shocking, шокирующий
shoot, стрелять
shore, берег
short-term, краткосрочный
shortage, нехватка
shortly, вскоре
shrink, сжиматься/уменьшаться
shrug, пожимать плечами
sibling, брат/сестра
sigh, вздыхать
signature, подпись 
significance, значение
simulate, имитировать
simulation, имитация
simultaneously, одновременно
sin, грех
situated, расположенный
sketch, эскиз
skilled, умелый
skip, пропускать
skull, череп
slam, хлопать/забивать
slap, шлепок
slash, косить
slavery, рабство
slogan, слоган
slot, слот
smash, разбивать
snap, щелчок/уборка
so-called, так называемый
soak, промокать/впитывать
soar, взлетать/штурмовать
socialist, социалистический
sole, единственный
solely, только
solicitor, адвокат
solidarity, солидарность
solo, сольный
somehow, как-то
sometime, когда-то
indigenous, местный
induce, вызывать
indulge, баловать
inequality, неравенство 
inevitable, неизбежный
infamous, позорный
infant, младенец 
infect, заражать 
infer, заключать, делать вывод 
inflation, инфляция
inflict, причинять вред
influential, влиятельный
info, информация
infrastructure, инфраструктура 
inhabitant, житель, обитатель 
inherent, неотъемлемый 
inherit, наследовать 
inhibit, ингибировать, замедлять 
initiate, начинать, инициировать 
inject, вводить (лекарство)
injection, инъекция
injustice, несправедливость 
ink, чернила 
inmate, заключенный 
innovation, инновация 
innovative, инновационный 
input, вход, входные данные 
insert, вставлять 
insertion, вставка 
insider, знающий внутренние подробности 
inspect, проверять, осматривать 
inspection, проверка, осмотр 
inspector, инспектор 
inspiration, вдохновение 
installation, установка 
instant, мгновенный 
instantly, мгновенно 
instinct, инстинкт 
institutional, институциональный 
instruct, инструктировать 
insufficient, недостаточный 
insult, оскорбление 
intact, неповрежденный, целый 
intake, потребление, впуск 
integral, целостный, интегральный 
integrate, интегрировать 
integrated, интегрированный 
integration, интеграция 
integrity, целостность, неприкосновенность 
intellectual, интеллектуальный 
intensify, усиливать 
intensity, интенсивность 
intensive, интенсивный 
intent, намерение 
interact, взаимодействовать 
interaction, взаимодействие 
interactive, интерактивный
interface, интерфейс 
interfere, вмешиваться, мешать 
interference, вмешательство 
interim, временный
interior, внутренний
intermediate, промежуточный
interpretation, толкование, интерпретация 
interval, промежуток, интервал 
intervene, вмешиваться 
intervention, вмешательство 
intimate, близкий 
intriguing, захватывающий, интересный
invade, вторгаться 
invasion, вторжение 
investigator, следователь 
investor, инвестор 
invisible, невидимый 
invoke, вызывать 
involvement, участие 
ironic, иронический 
ironically, иронично 
irony, ирония 
irrelevant, несущественный 
isolate, изолировать 
isolated, изолированный 
isolation, изоляция 
jail, тюрьма 
jet, реактивный самолет 
joint, совместный, общий 
journalism, журналистика 
judicial, судебный 
junction, разъезд, соединение 
jurisdiction, юрисдикция 
jury, жюри 
just, просто, только что 
justification, оправдание 
kidnap, похищать, киднэпировать 
kidney, почка 
kingdom, царство 
kit, набор, комплект 
adjective, прилагательное 
ladder, лестница 
landing, посадка 
landlord, арендодатель 
landmark, ориентир 
lane, полоса движения 
lap, колени 
large-scale, крупномасштабный 
laser, лазер 
lately, в последнее время 
latter, последний из перечисленных
lawn, газон 
lawsuit, судебный процесс 
layout, расположение, компоновка 
leaflet, листовка 
leak, утечка 
leap, прыжок 
legacy, наследие 
legend, легенда 
legendary, легендарный 
legislation, законодательство
